AtBat,Hits,Walks,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Salary
368,103,54,1897,493,9,207,162,198,209,326.667
263,70,30,888,220,9,83,82,86,81,250
642,211,52,2364,770,27,352,230,193,337,740
265,68,29,1337,339,32,135,163,128,92,425
559,141,73,3162,874,16,421,349,359,352,925
520,120,21,927,227,22,106,80,52,70,185
19,4,1,19,4,1,2,3,1,692,920
205,43,20,854,219,12,105,99,71,131,286.667
193,47,24,1136,256,42,129,139,106,299,245
213,61,3,4061,1145,83,488,491,244,178,235
510,147,53,2872,821,63,307,340,174,810,1150
578,138,34,1399,357,7,149,161,87,133,160
441,113,76,1546,397,17,226,149,191,160,425
172,42,15,4086,1150,57,579,363,406,65,900
127,32,12,8396,2402,242,1048,1348,819,167,500
279,69,32,1359,355,31,180,148,158,133,277.5
480,112,44,3031,771,110,338,406,239,94,750
600,139,60,1236,309,1,201,69,110,300,160
610,186,74,2728,753,69,399,366,286,1182,1300
360,81,37,2268,566,41,279,257,246,170,525
387,124,36,1775,506,6,272,125,194,186,550
580,207,105,2778,978,32,474,322,417,121,1600
408,117,34,408,117,11,66,41,34,942,120
593,172,57,593,172,22,82,100,57,1222,165
497,127,37,2703,806,32,379,311,138,325,700
492,136,94,5511,1511,39,897,451,875,313,875
475,126,52,1700,433,7,217,93,146,37,385
573,144,78,3198,857,97,470,420,332,1314,960
631,170,31,4908,1457,30,775,357,249,408,1000
